N,Time,Tag
5000,47791,sequential
5500,28390,parallel
5500,56567,sequential
6000,32970,parallel
6000,65123,sequential
6500,39668,parallel
6500,79559,sequential
7000,44490,parallel
7000,92790,sequential
7500,52260,parallel
7500,104226,sequential
8000,58763,parallel
8000,125254,sequential
8500,66365,parallel
8500,134518,sequential
9000,71513,parallel
9000,145418,sequential
9500,78103,parallel
9500,171034,sequential
10000,89502,parallel
10000,178863,sequential
5000,23621,parallel
5000,46242,sequential
5500,28990,parallel
5500,58142,sequential
6000,35807,parallel
6000,68899,sequential
6500,41111,parallel
6500,76372,sequential
7000,45211,parallel
7000,98505,sequential
7500,50849,parallel
7500,112061,sequential
8000,56370,parallel
8000,117195,sequential
8500,65354,parallel
8500,136987,sequential
9000,74224,parallel
9000,159387,sequential
9500,81955,parallel
9500,168149,sequential
10000,88959,parallel
10000,177517,sequential
5000,23177,parallel
5000,48696,sequential
5500,28333,parallel
5500,57297,sequential
6000,34780,parallel
6000,67583,sequential
6500,39568,parallel
6500,84366,sequential
7000,43918,parallel
7000,98017,sequential
7500,53310,parallel
7500,100112,sequential
8000,55875,parallel
8000,121281,sequential
8500,63306,parallel
8500,127828,sequential
9000,74462,parallel
9000,150123,sequential
9500,77708,parallel
9500,170352,sequential
10000,89747,parallel
10000,180167,sequential
